,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL95827,COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,active,278.31100000000004,3.3381000000000007,2.0,2.0,6.045757490560675
1,CHEMBL420455,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2c1c1cc(Br)ccc1n2C(=O)OC(C)(C)C,inactive,627.5319999999999,7.561000000000007,0.0,8.0,3.8239087409443187
2,CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,inactive,427.2980000000002,5.348600000000005,1.0,4.0,4.154901959985743
3,CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,active,327.181,4.092000000000002,2.0,1.0,6.3979400086720375
4,CHEMBL98360,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(Br)ccc2N1,active,406.077,4.854500000000002,2.0,1.0,6.522878745280337
7,CHEMBL328194,COc1cc2c(cc1OC)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,active,376.3340000000001,4.365500000000003,2.0,3.0,6.552841968657781
8,CHEMBL328164,CSC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,inactive,357.27600000000007,5.546500000000003,1.0,2.0,4.366531544420414
9,CHEMBL52387,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,active,354.4580000000001,3.2021000000000015,3.0,7.0,6.187086643357144
10,CHEMBL319373,COc1cc2c(cc1OC)-c1[nH]c3ccc(Br)cc3c1CC(=O)N2,active,387.2330000000001,4.109200000000002,2.0,3.0,6.698970004336019
13,CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,active,293.282,3.2377000000000002,2.0,3.0,7.455931955649724
17,CHEMBL98275,ONC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,active,342.1960000000001,4.162300000000002,3.0,3.0,6.0
18,CHEMBL299756,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,active,273.295,3.201180000000001,2.0,2.0,7.619788758288394
21,CHEMBL317562,CC(C)(C)OC(=O)N1C(=O)Cc2c(n(C(=O)OC(C)(C)C)c3ccc(Br)cc23)-c2ccccc21,inactive,527.4150000000002,6.678200000000007,0.0,6.0,3.0
22,CHEMBL316485,CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,inactive,341.2080000000001,4.116300000000002,1.0,1.0,4.698970004336019
24,CHEMBL329505,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ccccc2N1,active,316.282,4.348300000000002,2.0,1.0,6.3979400086720375
25,CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,active,395.178,5.110800000000001,2.0,1.0,6.619788758288394
27,CHEMBL328627,CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,inactive,355.235,4.585300000000003,1.0,2.0,4.638272163982407
29,CHEMBL100485,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2[nH]c3ccc(Br)cc3c21,inactive,527.4150000000001,6.3044000000000056,1.0,5.0,4.096910013008056
31,CHEMBL99423,COc1cccc2c1NC(=O)Cc1c-2[nH]c2ccccc12,inactive,278.311,3.3381000000000016,2.0,2.0,3.3665315444204134
32,CHEMBL95477,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccc(O)c2N1,inactive,343.18,3.7976000000000014,3.0,2.0,4.3979400086720375
33,CHEMBL97844,CCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,inactive,355.23500000000007,4.506400000000003,1.0,1.0,3.3279021420642825
36,CHEMBL99779,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,inactive,417.3060000000001,5.6867000000000045,1.0,1.0,4.455931955649724
37,CHEMBL99280,C=CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,inactive,367.24600000000004,4.751400000000003,1.0,2.0,4.221848749616356
39,CHEMBL330398,COc1cccc2c1NC(=O)Cc1c-2[nH]c2ccc(Br)cc12,inactive,357.207,4.100600000000002,2.0,2.0,3.6020599913279625
40,CHEMBL418203,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,active,401.8460000000001,3.3046000000000015,3.0,6.0,6.522878745280337
41,CHEMBL98153,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2ccccc2N1,active,282.73,3.9829000000000017,2.0,1.0,6.221848749616356
43,CHEMBL84944,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,active,384.4840000000001,3.1537000000000015,4.0,8.0,7.0
45,CHEMBL83320,CC(C)C(CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,active,384.4840000000001,3.1537000000000015,4.0,8.0,8.0
48,CHEMBL84140,CC(C)n1cnc2c(N)nc(NCCCO)nc21,inactive,250.30599999999998,0.7836999999999998,3.0,7.0,5.0
52,CHEMBL83719,CC(C)n1cnc2c(NC34CC5CC(CC(C5)C3)C4)nc(NCCCO)nc21,inactive,384.52800000000013,3.5822000000000025,3.0,7.0,4.0
54,CHEMBL133377,CN1CNc2ncnc(NCc3ccccc3)c21,inactive,241.298,1.9078999999999997,2.0,5.0,3.0
55,CHEMBL334619,CN1CNc2ncnc(N)c21,inactive,151.17299999999997,-0.12200000000000022,2.0,5.0,3.3010299956639813
57,CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,active,354.4580000000001,3.2021000000000015,3.0,7.0,6.346787486224656
58,CHEMBL133214,Nc1nc(NCc2ccccc2)c2[nH]cnc2n1,inactive,240.27,1.5471999999999997,3.0,5.0,4.045757490560675
59,CHEMBL134192,Nc1[nH]c(Cl)nc2ncnc1-2,inactive,169.57500000000002,0.5400999999999998,2.0,4.0,3.0
60,CHEMBL102871,CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCC(N)CC3)nc21,active,399.93000000000023,4.486000000000002,3.0,7.0,7.522878745280337
61,CHEMBL133042,Cn1cnc2c(NCc3ccccc3)nc(Cl)nc21,inactive,273.72700000000003,2.628800000000001,1.0,5.0,4.920818753952375
62,CHEMBL317398,Cn1cnc2c(N)nc(Cl)nc21,inactive,183.602,0.5989,1.0,5.0,4.154901959985743
63,CHEMBL228862,c1ccc(CNc2ncnc3[nH]cnc23)cc1,inactive,225.25500000000002,1.9649999999999996,2.0,4.0,3.6989700043360187
64,CHEMBL131098,Cn1cnc2c(NCc3ccccc3)ncnc21,inactive,239.28200000000004,1.9753999999999996,1.0,5.0,4.3979400086720375
65,CHEMBL131382,CC(C)=CCNc1nc(NCCO)nc2c1ncn2C,inactive,276.344,1.1455999999999997,3.0,7.0,4.187086643357144
66,CHEMBL336556,CN1CN=C(NCc2ccccc2)c2[nH]cnc21,inactive,241.29800000000003,1.3533999999999995,2.0,4.0,3.5228787452803374
